467736.400,-2389840.8873,5387975.1218,2428844.4777,-0.0007,0.0007,0.0011
467736.600,-2389840.8874,5387975.1218,2428844.4775,-0.0001,-0.0013,0.0025
467736.800,-2389840.8875,5387975.1219,2428844.4772,-0.0013,0.0020,-0.0021
467737.000,-2389840.8875,5387975.1219,2428844.4770,0.0018,0.0003,0.0010
467737.200,-2389840.8877,5387975.1219,2428844.4767,-0.0012,0.0010,-0.0019
467737.400,-2389840.8877,5387975.1218,2428844.4765,-0.0007,-0.0014,0.0007
467737.600,-2389840.8880,5387975.1216,2428844.4762,-0.0039,-0.0005,-0.0007
467737.800,-2389840.8881,5387975.1215,2428844.4759,-0.0004,-0.0004,0.0004
467738.000,-2389840.8884,5387975.1214,2428844.4757,-0.0018,0.0002,-0.0002
467738.200,-2389840.8883,5387975.1214,2428844.4754,-0.0006,0.0011,-0.0014
467738.400,-2389840.8883,5387975.1213,2428844.4753,-0.0006,0.0000,-0.0012
467738.600,-2389840.8883,5387975.1213,2428844.4750,-0.0008,-0.0004,-0.0006
467738.800,-2389840.8884,5387975.1213,2428844.4748,-0.0034,-0.0017,-0.0007
467739.000,-2389840.8884,5387975.1213,2428844.4747,-0.0012,-0.0022,0.0020
467739.200,-2389840.8883,5387975.1214,2428844.4743,-0.0013,0.0013,-0.0013
467739.400,-2389840.8880,5387975.1215,2428844.4738,0.0026,-0.0004,0.0011
467739.600,-2389840.8881,5387975.1216,2428844.4734,-0.0008,0.0023,-0.0028
467739.800,-2389840.8878,5387975.1218,2428844.4731,0.0025,0.0004,-0.0007
467740.000,-2389840.8877,5387975.1220,2428844.4725,-0.0012,0.0003,-0.0022
467740.200,-2389840.8876,5387975.1220,2428844.4725,0.0024,-0.0007,0.0020
467740.400,-2389840.8874,5387975.1222,2428844.4723,-0.0020,-0.0006,0.0004
467740.600,-2389840.8873,5387975.1222,2428844.4725,-0.0002,0.0011,-0.0024
467740.800,-2389840.8871,5387975.1223,2428844.4723,0.0024,-0.0003,0.0021
467741.000,-2389840.8871,5387975.1223,2428844.4723,0.0013,0.0023,-0.0023
467741.200,-2389840.8872,5387975.1222,2428844.4724,-0.0000,-0.0006,-0.0016
467741.400,-2389840.8875,5387975.1221,2428844.4726,0.0007,0.0011,-0.0001
